Pairs,Sharpe,Simple_rtn,STD,Trading_times,Holding_days,Total_days,Comm
MA_22MA_76,-0.14482006591973257,0.6596246322134409,0.010414675081077497,76.0,3142.0,4936.0,0.0
MA_22MA_77,-0.10417487512536705,0.615174461999183,0.010405922247776245,78.0,3147.0,4936.0,0.0
MA_22MA_78,-0.14980682961931982,0.5913747069677113,0.010394748420354257,80.0,3141.0,4936.0,0.0
MA_22MA_79,-0.19498918443795976,0.554392627987657,0.010383575407752327,80.0,3138.0,4936.0,0.0
MA_22MA_80,-0.19498918443795837,0.6119299009284809,0.010383575407752331,80.0,3133.0,4936.0,0.0
MA_22MA_81,-0.2696707428776593,0.8516534626369048,0.01035285627392846,78.0,3135.0,4936.0,0.0
MA_22MA_82,-0.2514778030647054,0.7635053796225972,0.010360112987723939,82.0,3134.0,4936.0,0.0
MA_22MA_83,-0.2514778030647072,0.7609855408467117,0.010360112987723947,82.0,3132.0,4936.0,0.0
MA_22MA_84,-0.2514778030647072,0.9345512360257935,0.010360112987723949,80.0,3130.0,4936.0,0.0
MA_22MA_85,-0.2514778030647061,0.9055682590559966,0.010360112987723939,82.0,3138.0,4936.0,0.0
MA_22MA_86,-0.2961681663577203,0.9619769550473154,0.010348704339151764,78.0,3138.0,4936.0,0.0
MA_22MA_87,-0.29616816635772125,1.1139105662799689,0.010348704339151756,80.0,3143.0,4936.0,0.0
MA_22MA_88,-0.29616816635772164,1.1350175303926875,0.010348704339151766,76.0,3140.0,4936.0,0.0
MA_22MA_89,-0.29616816635771887,1.174758038345657,0.010348704339151768,72.0,3138.0,4936.0,0.0
MA_22MA_90,-0.3139033394386164,1.1758430412327998,0.010395887305840934,74.0,3142.0,4936.0,0.0
MA_22MA_91,-0.3060213456832111,1.3745974859432781,0.010403447127679434,66.0,3154.0,4936.0,0.0
MA_22MA_92,-0.04335823473670955,1.4258624359299121,0.010529632050458697,66.0,3163.0,4936.0,0.0
MA_22MA_93,-0.08392759576520108,1.5897765530161272,0.010537087351768488,64.0,3177.0,4936.0,0.0
MA_22MA_94,-0.12250796556897693,1.6269960151668603,0.01054503926196437,64.0,3183.0,4936.0,0.0
MA_22MA_95,-0.040219886336976436,1.6969677124709954,0.010575041211301432,60.0,3200.0,4936.0,0.0
MA_22MA_96,-0.04021988633697908,1.5227208301128092,0.010575041211301435,62.0,3206.0,4936.0,0.0
MA_22MA_97,0.021563682109648884,1.5448686653825634,0.010611469952037812,58.0,3210.0,4936.0,0.0
